name,description,prep_time,done
Cake à la banane / banana bread (USA),"Ingrédients : farine, sucre, levure chimique, bicarbonate, sel, banane, beurre, lait, oeuf.Préchauffer le four à 165° C (thermostat 5-6).
...",1h30,true
Apple pie légère,"Ingrédients : pomme, farine, margarine, sucre, raisins secs, oeuf, citron.Préchauffer le four à 180°C (thermostat 6).  Travailler la margarine et le sucre au batteur électrique jusqu'à l'obtention d'une crème....",45 min,false
"Pavé de saumon à l’unilatérale, pour une cuisson parfaite à tous...","Ingrédients : saumon,huile d'olive,fleur de sel,poivre,pomme de terre,roquette ou autre type de salade,échalote,huile d'olive,vinaigre de cidre,moutarde.Commencer par mettre les pommes...",57 min,true
